freq,psd_raw,psd_proj
1450.0,9.410548040544432e-19,2.2183827155760746e-18
1460.0,8.799918924935636e-19,1.9036332584629e-18
1470.0,9.83374814174072e-19,2.0212273013419472e-18
1480.0,9.517151863811629e-19,2.1409935325673926e-18
1490.0,7.757328083438158e-19,1.8031376946401962e-18
1500.0,7.409327168364967e-19,1.797027014293842e-18
1510.0,9.025155984351183e-19,1.9714861197597864e-18
1520.0,7.212695696250681e-19,1.710250226556612e-18
1530.0,7.722403090924411e-19,1.7125027858883727e-18
1540.0,7.183214743224545e-19,1.656294834772802e-18
1550.0,7.653863747239376e-19,1.858458434168325e-18
1560.0,6.3718589508650805e-19,1.6338071653410726e-18
1570.0,6.993514926139113e-19,1.771802487362089e-18
1580.0,6.159171295312768e-19,1.5510513538451755e-18
1590.0,6.166312675675449e-19,1.64223097453713e-18
1600.0,6.94725612867395e-19,1.6048660499287384e-18
1610.0,6.819707213204664e-19,1.5943682361813314e-18
1620.0,5.624080062129792e-19,1.451131951658299e-18
1630.0,6.1810278804983285e-19,1.4733697521281934e-18
1640.0,5.26794567472579e-19,1.4288408518292697e-18
1650.0,5.184834640504788e-19,1.44202498722044e-18
1660.0,5.881845876993148e-19,1.5212317252095738e-18
1670.0,5.777437458478582e-19,1.4175573714366911e-18
1680.0,4.80333788623388e-19,1.341493896074162e-18
1690.0,5.587756501675075e-19,1.4112778865599937e-18
1700.0,5.433954851180064e-19,1.3756943828067957e-18
1710.0,4.48449027793192e-19,1.2873539242324343e-18
1720.0,4.555380766013309e-19,1.3283572354076308e-18
1730.0,4.824493699937974e-19,1.2554226213980197e-18
1740.0,4.194998075418348e-19,1.2263827529895157e-18
1750.0,4.822459952885198e-19,1.2861129118123918e-18
1760.0,4.703592591544e-19,1.2715526491721763e-18
1770.0,4.0225968153019635e-19,1.2196931687544789e-18
1780.0,4.483604254664922e-19,1.2176239268450514e-18
1790.0,3.887797050702332e-19,1.1922967402691943e-18
1800.0,4.1701527868066855e-19,1.14507742732082e-18
1810.0,4.1452827449328896e-19,1.1869169321773994e-18
1820.0,3.6599777146709324e-19,1.0767638475765807e-18
1830.0,3.8545238325997157e-19,1.0888811822185538e-18
1840.0,3.8234768122235138e-19,1.0849168882593653e-18
1850.0,3.652728633074455e-19,1.053233281677612e-18
1860.0,3.250894478929762e-19,1.051011255458844e-18
1870.0,3.5278240367346924e-19,1.0894056454164212e-18
1880.0,3.527570089484155e-19,1.070782589406631e-18
1890.0,3.3086724508046956e-19,1.0554381757848683e-18
1900.0,3.069956030910703e-19,1.0186227403366328e-18
1910.0,3.3027491164256895e-19,9.929554112513023e-19
1920.0,3.236615627242033e-19,9.81368942199035e-19
1930.0,2.8096521296479295e-19,9.547196272566877e-19
1940.0,2.976286581762571e-19,9.291963282388128e-19
1950.0,2.6916076977512394e-19,9.240660167288763e-19
1960.0,2.926403606418397e-19,9.598146834518067e-19
1970.0,2.7721631995734205e-19,9.433914986425062e-19
1980.0,2.608063617897973e-19,8.736779156300762e-19
1990.0,2.485129542387882e-19,8.748674037718588e-19
2000.0,2.6674410050894646e-19,8.67587256608259e-19
2010.0,2.4443642789291034e-19,8.787552839046406e-19
2020.0,2.6098492928113237e-19,8.84249742208896e-19
2030.0,2.5380603844935743e-19,8.423272556490201e-19
2040.0,2.3807296730763997e-19,8.587622837711637e-19
2050.0,2.231353922818884e-19,8.279704507355874e-19
2060.0,2.1743938411283377e-19,7.991495978308696e-19
2070.0,2.312505229422731e-19,8.315705620383335e-19
2080.0,2.3210340041720313e-19,8.170427761716574e-19
2090.0,2.196189390825231e-19,8.101943131731943e-19
2100.0,2.071833170753506e-19,7.573592248396975e-19
2110.0,2.194532137650928e-19,7.79916296339316e-19
2120.0,1.9364817521227276e-19,7.481550652217793e-19
2130.0,1.9130844960760063e-19,7.5151736603641755e-19
2140.0,1.8767967598454043e-19,7.265974920768302e-19
