t,phy,det,v,stat
-0.009265,1.186333932653224e-07,-1.041680636711357e-06,,
-0.009260000000000001,-1.6479486581936928e-06,-2.7398094069737186e-05,,
-0.009255,-2.1913735447737532e-06,-2.568277776670914e-06,,
-0.00925,3.3506421454862876e-06,-4.357501131029633e-06,,
-0.009245,9.458953314359578e-06,2.8475254577782958e-05,,
-0.00924,-3.3607638474057956e-06,-3.8203543101005703e-07,,
-0.009235,2.4344857735480162e-05,6.261616143035527e-06,,
-0.00923,2.715175531926501e-06,-1.2673436822733457e-05,,
-0.009225,-2.1815167586806827e-06,3.872595480646717e-06,,
-0.00922,-4.438305391056998e-07,-4.357551627996763e-06,,
-0.009215000000000001,-2.682019865407251e-07,-1.0779175184168134e-05,,
-0.00921,-2.287437905863025e-06,-5.6026387408886586e-06,,
-0.009205,-7.167786532128946e-07,6.652881604151034e-07,,
-0.0092,4.961055379624229e-06,2.8272681226970467e-05,,
-0.009195,5.715827609053457e-06,4.1102772522201425e-06,,
-0.00919,-1.0067633236526861e-05,2.2121874144169876e-06,,
-0.009185,5.1752359611421616e-05,-2.9941776790815783e-05,,
-0.00918,-4.158794697478086e-07,1.480297478511594e-07,,
-0.009175,-2.21283039160144e-06,-2.8542617012120105e-06,,
-0.009170000000000001,7.75484292360392e-08,1.5198978277746341e-05,,
-0.009165,-1.029519077904804e-06,-4.917486401280153e-06,,
-0.00916,-2.4026755284887868e-06,1.664274655069756e-06,,
-0.009155,8.903017638426537e-07,7.3876108489394135e-06,,
-0.00915,5.338478300684998e-06,7.421195157864468e-06,,
-0.009145,2.3201258318020523e-06,-1.771088588954732e-07,,
-0.00914,-1.0568148276749939e-05,-2.538857128864964e-05,,
-0.009135,-9.691245085939178e-05,-6.0103255947728246e-06,,
-0.009130000000000001,-3.541145818310257e-06,-2.7217105050525127e-07,,
-0.009125,-1.583584277273108e-06,2.9569005194367493e-05,,
-0.00912,1.7818798773903623e-07,1.1832887075301935e-06,,
-0.009115,-1.896719725866846e-06,-4.837881925713316e-07,,
-0.00911,-2.0635722100104327e-06,-1.8620050771242002e-05,,
-0.009105,2.2522395790639822e-06,4.629878798067645e-06,,
-0.0091,4.916560022723293e-06,1.4534235522152237e-06,,
-0.009095,-1.5314628893819958e-07,-8.131720949860276e-07,,
-0.00909,-9.132970198292952e-06,-8.379180265296443e-06,,
-0.009085,-1.2665896659570085e-05,-1.3541735824749345e-06,,
-0.00908,-6.752288867112785e-06,1.8344472045005483e-05,,
-0.009075,-6.294542582018085e-07,8.041309181571074e-06,,
-0.00907,-1.6409306084287663e-07,-3.377985304214937e-07,,
-0.009065,-2.693707499827689e-06,-2.558479857626222e-05,,
-0.00906,-1.465926771080566e-06,-3.6872752979935196e-06,,
-0.009055,3.2267253440458384e-06,2.893088956978831e-06,,
-0.00905,4.151005790889271e-06,2.0191736418443085e-05,,
-0.009045000000000001,-1.6628684943319703e-06,-2.5789415155726844e-06,,
-0.00904,-7.272280287090901e-06,-4.711374677768552e-06,,
-0.009035,-3.330672185607727e-06,-6.3118695949838975e-06,,
-0.00903,-1.2245883803286324e-05,7.725399921410415e-06,,
-0.009025,4.5355889678902237e-07,4.321803535166261e-06,,
-0.00902,-8.664707306774787e-07,-8.353840166804676e-06,,
-0.009015,-3.3753139205987775e-06,-9.316889068952424e-06,,
-0.00901,-8.130079584062266e-07,-1.3658458491817228e-06,,
-0.009005,3.837546340023822e-06,1.689435819445964e-05,,
-0.009000000000000001,3.3741869698875367e-06,6.667821121194089e-06,,
-0.008995,-2.4010856362382515e-06,-3.0423992557643755e-06,,
-0.00899,-5.583491837122423e-06,-1.650980318259143e-05,,
-0.008985,-6.501110020209467e-07,-1.0829247979326941e-06,,
-0.00898,0.00013049011693330677,6.800913832055731e-06,,
-0.008975,1.7163424822035714e-06,9.245058850904785e-06,,
-0.00897,-1.8353538548899573e-06,-4.859048380987986e-06,,
-0.008965,-3.99884548114876e-06,-7.885369678626566e-06,,
-0.008960000000000001,-2.6306505862349085e-07,-1.2917706182419342e-07,,
-0.008955000000000001,4.179950152060051e-06,8.558555771001088e-06,,
-0.00895,2.772752314137265e-06,5.418871177693841e-06,,
-0.008945,-2.6030629517613743e-06,-5.94375261291089e-06,,
-0.00894,-4.244366955449652e-06,-8.554674588402352e-06,,
-0.008935,1.0895246799244817e-07,-1.8381589647789374e-07,,
-0.00893,2.4475035107746338e-06,6.7887595145208715e-06,,
-0.008925,3.70589905327038e-06,5.071957975680306e-06,,
-0.00892,-3.0106063412809655e-06,-5.6800478004404305e-06,,
-0.008915,-4.6801039818931025e-06,-3.678228817803539e-06,,
-0.00891,7.200266972198744e-08,2.2513335776826032e-07,,
-0.008905,4.349493031161579e-06,9.631660289401255e-06,,
-0.0089,2.4202581342057218e-06,9.384493299364905e-08,,
-0.008895,-2.4596220480050666e-06,-5.07296594426483e-06,,
-0.00889,-3.237831223866947e-06,-9.870405638050646e-06,,
-0.008885,1.9915355260181606e-07,6.284296384352406e-07,,
