pfa_glrt,pd_glrt,pfa_ed,pd_ed
0.004,0.004,0.0765,0.0785
0.004,0.004,0.075,0.0765
0.004,0.004,0.073,0.074
0.004,0.004,0.072,0.073
0.0035,0.0035,0.0705,0.0705
0.0035,0.0035,0.068,0.0695
0.0035,0.0035,0.067,0.069
0.003,0.0035,0.0655,0.0675
0.003,0.003,0.0645,0.066
0.003,0.003,0.063,0.0645
0.003,0.003,0.06,0.0625
0.003,0.003,0.057,0.0605
0.003,0.003,0.057,0.057
0.003,0.003,0.057,0.0565
0.003,0.003,0.056,0.0555
0.003,0.003,0.053,0.0535
0.003,0.003,0.0515,0.0535
0.003,0.003,0.0495,0.0505
0.003,0.003,0.047,0.0485
0.003,0.003,0.046,0.047
0.003,0.003,0.044,0.0455
0.003,0.003,0.0425,0.043
0.003,0.003,0.0415,0.0425
0.003,0.003,0.041,0.0415
0.003,0.003,0.0395,0.041
0.003,0.003,0.039,0.041
0.003,0.003,0.039,0.0395
0.003,0.003,0.0385,0.039
0.003,0.003,0.038,0.038
0.003,0.003,0.036,0.0375
0.003,0.003,0.034,0.0355
0.003,0.003,0.0335,0.0345
0.003,0.003,0.0325,0.033
0.003,0.003,0.032,0.032
0.003,0.003,0.0305,0.032
0.003,0.003,0.0285,0.031
0.003,0.003,0.028,0.0295
0.003,0.003,0.0265,0.028
0.003,0.003,0.0265,0.0265
0.003,0.003,0.0265,0.026
0.003,0.003,0.026,0.026
0.003,0.003,0.0255,0.0255
0.003,0.003,0.024,0.024
0.003,0.003,0.0235,0.024
0.003,0.003,0.023,0.0235
0.0025,0.0025,0.0215,0.023
0.0025,0.0025,0.0215,0.022
0.0025,0.0025,0.021,0.0215
0.0025,0.0025,0.021,0.021
0.0025,0.0025,0.02,0.0205
0.0025,0.0025,0.02,0.02
0.0025,0.0025,0.0195,0.02
0.002,0.0015,0.0185,0.0195
0.0015,0.0015,0.0175,0.018
0.0015,0.0015,0.0175,0.0175
0.0015,0.0015,0.0165,0.017
0.0015,0.0015,0.0165,0.017
0.0015,0.0015,0.0165,0.016
0.0015,0.0015,0.0155,0.016
0.0015,0.0015,0.015,0.0155
0.0015,0.0015,0.0145,0.015
0.0015,0.0015,0.014,0.0145
0.0015,0.0015,0.013,0.014
0.0015,0.0015,0.013,0.0135
0.0015,0.0015,0.013,0.013
0.0015,0.0015,0.0125,0.013
0.0015,0.0015,0.0125,0.0125
0.0015,0.0015,0.0125,0.0125
0.0015,0.0015,0.0125,0.0125
0.0015,0.001,0.0125,0.0125
0.001,0.001,0.0125,0.012
0.001,0.0005,0.0125,0.0115
0.0005,0.0005,0.012,0.011
0.0005,0.0005,0.0105,0.011
0.0005,0.0005,0.0095,0.011
0.0005,0.0005,0.009,0.0095
0.0005,0.0005,0.009,0.009
0.0005,0.0005,0.0085,0.0085
0.0005,0.0005,0.008,0.0085
0.0005,0.0005,0.008,0.008
0.0005,0.0005,0.008,0.008
0.0005,0.0005,0.0075,0.008
0.0005,0.0005,0.007,0.0075
0.0005,0.0005,0.007,0.0075
0.0005,0.0005,0.0065,0.0065
0.0005,0.0005,0.006,0.0065
0.0005,0.0005,0.006,0.0065
0.0005,0.0005,0.006,0.006
0.0005,0.0005,0.0055,0.0055
0.0005,0.0005,0.0045,0.005
0.0005,0.0005,0.004,0.005
0.0005,0.0005,0.0035,0.004
0.0005,0.0005,0.0035,0.004
0.0005,0.0005,0.003,0.0035
0.0005,0.0005,0.003,0.0035
0.0005,0.0005,0.003,0.003
0.0005,0.0005,0.003,0.003
0.0005,0.0005,0.003,0.003
0.0005,0.0005,0.0025,0.0025
0.0005,0.0005,0.0025,0.0025
0.0005,0.0005,0.002,0.0015
0.0005,0.0005,0.002,0.0015
0.0005,0.0005,0.002,0.0015
