freq,psd
2626.953125,3.390648671471748e-24
2636.71875,3.181173972265816e-24
2646.484375,3.0941667911176807e-24
2656.25,3.097189353843856e-24
2666.015625,3.2678902908167173e-24
2675.78125,3.2772014000436668e-24
2685.546875,2.7616463069435592e-24
2695.3125,2.7603874601444617e-24
2705.078125,2.4569560864232776e-24
2714.84375,2.4827009099629563e-24
2724.609375,2.3255977642671757e-24
2734.375,2.4504529871936894e-24
2744.140625,1.9192048097868256e-24
2753.90625,2.488771568507375e-24
2763.671875,2.0716639858152452e-24
2773.4375,2.233379253739296e-24
2783.203125,1.7031842753224177e-24
2792.96875,1.8417382609919625e-24
2802.734375,1.6039347740349153e-24
2812.5,2.013703141077592e-24
2822.265625,1.993061781412915e-24
2832.03125,1.6088652245475314e-24
2841.796875,1.5590852802196782e-24
2851.5625,1.6016945283489553e-24
2861.328125,1.540679832946407e-24
2871.09375,1.5597393405608121e-24
2880.859375,1.3764251871093455e-24
2890.625,1.3969903105859878e-24
2900.390625,1.5100592382403122e-24
2910.15625,1.0677485357587669e-24
2919.921875,9.955962105532295e-25
2929.6875,1.1236085146518673e-24
2939.453125,1.1960101196513336e-24
2949.21875,1.1411240957925142e-24
2958.984375,1.1926069528568612e-24
2968.75,1.425117196865175e-24
2978.515625,1.2166738447947379e-24
2988.28125,9.859642919575896e-25
2998.046875,1.0640203648861104e-24
3007.8125,1.248936846152505e-24
3017.578125,1.0351825438499532e-24
3027.34375,8.946858942352852e-25
3037.109375,8.979870472627044e-25
3046.875,9.249890000893757e-25
3056.640625,9.013125059147427e-25
3066.40625,8.91563748117807e-25
3076.171875,8.247348646021468e-25
3085.9375,9.409480011281926e-25
3095.703125,8.322948117607908e-25
3105.46875,6.9410593475855695e-25
3115.234375,6.435093973765528e-25
3125.0,7.378768040472527e-25
3134.765625,8.016039964456165e-25
3144.53125,7.397462466459887e-25
3154.296875,6.703061087846224e-25
3164.0625,6.61001273892358e-25
3173.828125,6.407126137542579e-25
3183.59375,6.332806553075275e-25
3193.359375,5.659722154460384e-25
3203.125,5.735467264321315e-25
3212.890625,6.265426556779823e-25
3222.65625,5.849748588554178e-25
3232.421875,5.948993467612227e-25
3242.1875,5.842220102212818e-25
3251.953125,4.742680604624667e-25
3261.71875,5.569018598325715e-25
3271.484375,3.9981146128124003e-25
3281.25,4.647322849196881e-25
3291.015625,4.826778525827725e-25
3300.78125,4.8426728549528915e-25
3310.546875,4.56764734216456e-25
3320.3125,4.642119496501379e-25
3330.078125,4.1956140011789435e-25
3339.84375,3.5563456806566214e-25
3349.609375,3.4872733082702464e-25
3359.375,4.639435846979995e-25
3369.140625,4.4057663998780215e-25
3378.90625,4.299543412936285e-25
3388.671875,4.1694089379096335e-25
3398.4375,3.8349596834798584e-25
3408.203125,3.6641899721015125e-25
3417.96875,3.3472673501899557e-25
3427.734375,3.320885711450977e-25
3437.5,3.133718828367947e-25
3447.265625,3.325453489043759e-25
3457.03125,2.5639564646272917e-25
3466.796875,2.7001221852008557e-25
3476.5625,2.9028359253612824e-25
3486.328125,2.8553755689025367e-25
3496.09375,2.9821454674103994e-25
3505.859375,2.6988020482307957e-25
3515.625,2.8054264404076487e-25
3525.390625,2.442875232599576e-25
3535.15625,2.809514082854904e-25
3544.921875,2.800192579875353e-25
3554.6875,3.070713226391274e-25
3564.453125,2.4681410306665585e-25
3574.21875,2.531087786361334e-25
3583.984375,2.1118273861998807e-25
3593.75,2.10927584057685e-25
3603.515625,1.726734861782074e-25
3613.28125,1.8948748963084378e-25
3623.046875,2.383092085755435e-25
3632.8125,2.3797537570203965e-25
3642.578125,2.355425588078842e-25
3652.34375,2.0477910102543018e-25
3662.109375,1.7548550257941884e-25
3671.875,1.7225493168104357e-25
3681.640625,1.902595508091833e-25
3691.40625,1.6417092891799313e-25
3701.171875,1.6793202975093846e-25
3710.9375,1.8533724334306224e-25
3720.703125,1.6205635718453737e-25
3730.46875,1.6542326490098739e-25
3740.234375,1.5749530561114597e-25
3750.0,1.6214868218340077e-25
3759.765625,1.4836155611427447e-25
3769.53125,1.5319819661730001e-25
3779.296875,1.7255663537781307e-25
3789.0625,1.5679152408570806e-25
3798.828125,1.3644884478561533e-25
3808.59375,1.413506043472644e-25
3818.359375,1.6483771907163241e-25
3828.125,1.3102323978359697e-25
3837.890625,9.756328451899167e-26
3847.65625,1.2563620455170514e-25
3857.421875,1.1598831218890734e-25
3867.1875,1.237194333000961e-25
3876.953125,1.1921304697288152e-25
3886.71875,1.1400732325725934e-25
3896.484375,1.0154725812033229e-25
3906.25,1.1224778487743287e-25
3916.015625,1.035827777589824e-25
3925.78125,1.1466116834496417e-25
3935.546875,1.1044992774374317e-25
3945.3125,9.702677467381286e-26
3955.078125,9.772868056452547e-26
3964.84375,7.362918650478329e-26
3974.609375,8.6883079740712e-26
3984.375,1.0737388232211648e-25
3994.140625,9.278127042772645e-26
4003.90625,9.76669572314568e-26
4013.671875,9.280139763973832e-26
4023.4375,7.88822126398341e-26
4033.203125,6.221034883587724e-26
4042.96875,8.746533086062209e-26
4052.734375,9.326787641290404e-26
4062.5,8.75046835982847e-26
4072.265625,8.519799599388573e-26
4082.03125,8.683582146668215e-26
4091.796875,7.468406389937809e-26
4101.5625,5.767757049729703e-26
4111.328125,6.315371526719586e-26
4121.09375,7.43664096233769e-26
4130.859375,6.691796713004902e-26
4140.625,7.082490840488426e-26
4150.390625,8.04574992313743e-26
4160.15625,6.286497222308735e-26
4169.921875,6.060274918128128e-26
4179.6875,7.576567487307976e-26
4189.453125,6.611993776040449e-26
4199.21875,5.701751811085e-26
4208.984375,4.8154693283364523e-26
4218.75,4.805120975526432e-26
4228.515625,5.536069069761693e-26
4238.28125,4.8270002385492364e-26
4248.046875,4.023333450789629e-26
4257.8125,5.422478333731584e-26
4267.578125,6.086740482273965e-26
4277.34375,5.229747516778069e-26
