space,input,output
0.2064128256513026,0.999999993478254,0.9999999946640261
0.20841683366733466,0.9999999917544031,0.9999999932536028
0.21042084168336672,0.9999999895916316,0.9999999914840624
0.2124248496993988,0.9999999868826667,0.9999999892676367
0.21442885771543085,0.9999999834951799,0.9999999864960564
0.21643286573146292,0.9999999792662253,0.9999999830360027
0.21843687374749496,0.9999999739955127,0.9999999787236014
0.22044088176352702,0.9999999674372888,0.9999999733577818
0.2224448897795591,0.9999999592905569,0.9999999666922736
0.22444889779559116,0.9999999491873195,0.999999958425988
0.22645290581162322,0.9999999366784713,0.9999999481914758
0.2284569138276553,0.9999999212169088,0.9999999355411062
0.23046092184368736,0.9999999021373471,0.9999999199305545
0.23246492985971942,0.9999998786322524,0.999999900699112
0.2344689378757515,0.9999998497231989,0.9999998770462482
0.23647294589178355,0.9999998142268557,0.999999848003783
0.23847695390781562,0.999999770714673,0.9999998124029019
0.24048096192384769,0.9999997174652082,0.9999997688351515
0.24248496993987975,0.9999996524078593,0.9999997156064017
0.2444889779559118,0.9999995730566019,0.9999996506826307
0.24649298597194386,0.9999994764321176,0.9999995716262128
0.24849699398797592,0.9999993589704742,0.9999994755211988
0.250501002004008,0.9999992164162688,0.9999993588858912
0.25250501002004005,0.9999990436978577,0.9999992175707556
0.2545090180360721,0.9999988347819925,0.9999990466394869
0.2565130260521042,0.9999985825048302,0.999998840230743
0.25851703406813625,0.9999982783759189,0.9999985913977689
0.2605210420841683,0.9999979123513419,0.999998291922781
0.2625250501002004,0.9999974725717606,0.9999979321026371
0.26452905811623245,0.999996945060615,0.999997500501903
0.2665330661322645,0.9999963133772185,0.9999969836690121
0.2685370741482966,0.999995558218935,0.9999963658107639
0.27054108216432865,0.9999946569660307,0.9999956284199105
0.2725450901803607,0.9999935831621777,0.9999947498500953
0.2745490981963928,0.9999923059229335,0.9999937048318486
0.27655310621242485,0.9999907892638465,0.9999924639228146
0.2785571142284569,0.9999889913391415,0.9999909928847973
0.280561122244489,0.9999868635812347,0.9999892519796517
0.282565130260521,0.9999843497306171,0.9999871951754393
0.28456913827655306,0.9999813847449425,0.9999847692537192
0.2865731462925851,0.9999778935754734,0.9999819128082629
0.2885771543086172,0.999973789798388,0.9999785551249439
0.29058116232464926,0.9999689740878585,0.999974614932087
0.2925851703406813,0.9999633325172751,0.9999699990100812
0.2945891783567134,0.9999567346745665,0.999964600648741
0.29659318637274545,0.9999490315772331,0.9999582979405865
0.2985971943887775,0.9999400533725458,0.9999509518980869
0.3006012024048096,0.9999296068083445,0.9999424043828645
0.30260521042084165,0.9999174724600732,0.9999324758350111
0.3046092184368737,0.999903401700112,0.9999209627909815
0.3066132264529058,0.9998871133961694,0.9999076351790741
0.30861723446893785,0.9998682903265014,0.9998922333822851
0.3106212424849699,0.9998465753010706,0.9998744650593756
0.312625250501002,0.9998215669794892,0.9998540017163529
0.31462925851703405,0.9997928153787341,0.9998304750222254
0.3166332665330661,0.999759817066224,0.9998034728649623
0.3186372745490982,0.9997220100369411,0.9997725351459762
0.32064128256513025,0.9996787682768882,0.9997371493143039
0.3226452905811623,0.9996293960193378,0.9996967456448946
0.3246492985971944,0.9995731217050613,0.9996506922691228
0.32665330661322645,0.9995090916630528,0.9995982899697896
0.3286573146292585,0.9994363635341854,0.9995387667574893
