freq_hz,jitter_psd_db,pa_pin_db,pa_out,pa_scr
6054.687499999999,-199.99999351484752,-12.093577174269397,0.23404456514749766,0.8836812582032476
6152.343749999999,-199.99999503670156,-11.95459997571766,0.23737055312465785,0.8801254922095918
6249.999999999999,-199.9999947237667,-11.817811485649033,0.24067675264238747,0.8765265557586148
6347.656249999999,-199.99999561826888,-11.68314383299061,0.2439629787025998,0.8728850211168818
6445.312499999999,-199.9999957958476,-11.550532255515506,0.24722905132776574,0.8692014638265928
6542.968749999999,-199.9999961674826,-11.41991491282643,0.2504747955663271,0.8654764625014516
6640.624999999999,-199.99999648379404,-11.291232713193898,0.25370004149579245,0.8617105986235359
6738.281249999999,-199.99999685300256,-11.164429153035393,0.2569046242235445,0.857904456341286
6835.937499999999,-199.99999725057143,-11.039450167944045,0.2600883838853913,0.8540586222687183
6933.593749999999,-199.99999733212914,-10.916243994283718,0.26325116564189244,0.850173685285977
7031.249999999999,-199.99999757800413,-10.794761040463785,0.26639281967249573,0.8462502363413252
7128.906249999999,-199.99999766042347,-10.674953767092353,0.2695132011675181,0.8422888682546787
7226.562499999999,-199.99999809880768,-10.556776575283118,0.2726121703180081,0.8382901755227847
7324.218749999999,-199.99999797509193,-10.440185702459114,0.27568959230352735,0.8342547541261359
7421.874999999999,-199.999998285691,-10.325139125057486,0.27874533727788897,0.8301832013377188
7519.531249999999,-199.99999839388747,-10.211596467593997,0.28177928035289335,0.8260761155336852
7617.187499999999,-199.99999854869964,-10.099518917594853,0.28479130158010074,0.8219340960060293
7714.843749999999,-199.99999858192862,-9.988869145947326,0.2877812859306846,0.8177577427773621
7812.499999999999,-199.99999871769472,-9.879611232260183,0.29074912327340396,0.8135476564178572
7910.156249999999,-199.99999880695302,-9.771710594860494,0.293694708350742,0.8093044378644481
8007.812499999999,-199.99999887314132,-9.665133925085431,0.2966179407532521,0.8050286882423514
8105.468749999999,-199.99999899700077,-9.559849125556703,0.2995187248921561,0.8007210086889863
8203.124999999998,-199.99999904518987,-9.455825252151381,0.3023969699702408,0.796382000180359
8300.781249999998,-199.99999912533218,-9.353032459406679,0.3052525899510976,0.7920122633599735
8398.437499999998,-199.99999918395477,-9.251441949117641,0.30808550352675124,0.7876123983703359
8496.093749999998,-199.99999920174704,-9.151025921906271,0.3108956340837233,0.7831830046871028
8593.749999999998,-199.99999928610836,-9.05175753155833,0.31368290966757983,0.7787246809559358
8691.406249999998,-199.99999934485416,-8.953610841940149,0.3164472629460071,0.7742380248321072
8789.062499999998,-199.99999937486604,-8.856560786322461,0.3191886311704649,0.7697236328229112
8886.718749999998,-199.999999404474,-8.760583128951694,0.3219069561364643,0.7651821001329199
8984.374999999998,-199.9999994479899,-8.665654428721313,0.32460218414251724,0.7606140205121316
9082.031249999998,-199.99999950791687,-8.571752004807005,0.3272742659478062,0.7560199861070463
9179.687499999998,-199.9999994776306,-8.478853904139632,0.32992315672862194,0.7514005873147058
9277.343749999998,-199.99999957768708,-8.38693887059933,0.3325488160336162,0.7467564126397311
9374.999999999998,-199.99999957214516,-8.29598631582254,0.3351512077379182,0.7420880485543877
9472.656249999998,-199.9999995930167,-8.205976291521736,0.33773029999616233,0.7373960793617016
9570.312499999998,-199.9999996341308,-8.116889463224712,0.34028606519447346,0.7326810870616561
9667.968749999998,-199.99999964944212,-8.02870708534698,0.342818479901459,0.7279436512204855
9765.624999999998,-199.9999996625532,-7.941410977516881,0.3453275248182532,0.7231843488430837
9863.281249999998,-199.99999968804875,-7.854983502078596,0.3478131847276617,0.7184037542485465
9960.937499999998,-199.99999971066836,-7.769407542703456,0.3502754484424517,0.7136024389488572
10058.593749999998,-199.99999972109546,-7.684666484044639,0.35271430875283505,0.7087809715307254
10156.249999999998,-199.99999973865326,-7.600744192374784,0.3551297623731887,0.7039399175405882
10253.906249999998,-199.99999975700302,-7.517624997150084,0.357521809888059,0.699079839372776
10351.562499999998,-199.99999976187152,-7.435293673448152,0.3598904556974944,0.6942012961608465
10449.218749999998,-199.99999978031016,-7.353735425230435,0.3622357079617499,0.6893048436720862
10546.874999999998,-199.9999997992126,-7.272935869383167,0.364557578545409,0.684391034205177
10644.531249999998,-199.99999979220237,-7.192881020493781,0.36685608296096445,0.6794604164910211
10742.187499999998,-199.9999998201236,-7.1135572763224975,0.3691312403119021,0.6745135355967196
10839.843749999998,-199.9999998219236,-7.034951403931338,0.3713830732353286,0.6695509328326936
10937.499999999998,-199.99999983479915,-6.9570505264351725,0.37361160784418584,0.6645731456629355
11035.156249999998,-199.99999983796812,-6.879842110341643,0.37581687366909156,0.6595807076183781
11132.812499999998,-199.99999985324007,-6.803313953448815,0.3779989035998471,0.6545741482133662
11230.468749999998,-199.99999985723554,-6.727454173271337,0.38015773382665174,0.6495539928652109
11328.124999999998,-199.99999986097646,-6.652251195967654,0.38229340378106164,0.6445207628168084
11425.781249999998,-199.99999987842327,-6.577693745742468,0.38440595607673234,0.6394749750623031
11523.437499999998,-199.99999987535676,-6.5037708347001635,0.3864954364499814,0.6344171422757691
11621.093749999998,-199.99999988056513,-6.430471753126387,0.38856189370020777,0.6293477727428879
11718.749999999998,-199.99999989242158,-6.357786060176266,0.39060537963020336,0.6242673702955959
11816.406249999998,-199.9999998952323,-6.285703574949012,0.3926259489863931,0.6191764342496708
11914.062499999998,-199.99999989979,-6.214214367929855,0.3946236593990348,0.6140754593452327
12011.718749999998,-199.99999990578672,-6.143308752781278,0.39659857132241527,0.6089649356901239
