pfa_ideal,pd_ideal,pfa_prop,pd_prop,pfa_naive,pd_naive,pfa_ed,pd_ed
0.0,0.868,0.0,0.796,0.002,0.638,0.936,0.948
0.0,0.864,0.0,0.79,0.002,0.632,0.934,0.946
0.0,0.862,0.0,0.784,0.002,0.626,0.934,0.944
0.0,0.86,0.0,0.784,0.002,0.622,0.934,0.942
0.0,0.856,0.0,0.784,0.002,0.616,0.932,0.94
0.0,0.844,0.0,0.784,0.002,0.612,0.93,0.94
0.0,0.836,0.0,0.78,0.002,0.606,0.926,0.94
0.0,0.832,0.0,0.778,0.002,0.606,0.924,0.94
0.0,0.828,0.0,0.77,0.002,0.602,0.922,0.938
0.0,0.816,0.0,0.762,0.002,0.598,0.92,0.936
0.0,0.81,0.0,0.754,0.002,0.592,0.92,0.932
0.0,0.802,0.0,0.75,0.002,0.586,0.912,0.928
0.0,0.792,0.0,0.746,0.002,0.586,0.912,0.926
0.0,0.782,0.0,0.742,0.0,0.584,0.91,0.926
0.0,0.778,0.0,0.74,0.0,0.578,0.908,0.926
0.0,0.772,0.0,0.738,0.0,0.576,0.904,0.926
0.0,0.768,0.0,0.728,0.0,0.574,0.902,0.926
0.0,0.766,0.0,0.722,0.0,0.57,0.902,0.922
0.0,0.764,0.0,0.718,0.0,0.564,0.902,0.92
0.0,0.762,0.0,0.714,0.0,0.56,0.9,0.92
0.0,0.762,0.0,0.714,0.0,0.548,0.9,0.92
0.0,0.754,0.0,0.71,0.0,0.546,0.9,0.912
0.0,0.746,0.0,0.7,0.0,0.546,0.898,0.912
0.0,0.74,0.0,0.696,0.0,0.538,0.894,0.91
0.0,0.734,0.0,0.692,0.0,0.534,0.892,0.908
0.0,0.734,0.0,0.69,0.0,0.53,0.89,0.908
0.0,0.728,0.0,0.686,0.0,0.522,0.89,0.906
0.0,0.724,0.0,0.684,0.0,0.518,0.886,0.906
0.0,0.724,0.0,0.684,0.0,0.508,0.884,0.906
0.0,0.716,0.0,0.676,0.0,0.508,0.876,0.904
0.0,0.708,0.0,0.67,0.0,0.502,0.872,0.902
0.0,0.708,0.0,0.666,0.0,0.5,0.87,0.898
0.0,0.702,0.0,0.66,0.0,0.494,0.866,0.896
0.0,0.7,0.0,0.658,0.0,0.492,0.864,0.892
0.0,0.692,0.0,0.65,0.0,0.49,0.856,0.89
0.0,0.68,0.0,0.648,0.0,0.484,0.85,0.886
0.0,0.674,0.0,0.646,0.0,0.476,0.848,0.882
0.0,0.668,0.0,0.644,0.0,0.472,0.844,0.878
0.0,0.662,0.0,0.644,0.0,0.47,0.836,0.876
0.0,0.66,0.0,0.642,0.0,0.468,0.834,0.87
0.0,0.654,0.0,0.638,0.0,0.464,0.828,0.866
0.0,0.646,0.0,0.636,0.0,0.464,0.828,0.862
0.0,0.64,0.0,0.632,0.0,0.46,0.828,0.862
0.0,0.636,0.0,0.63,0.0,0.458,0.822,0.858
0.0,0.632,0.0,0.628,0.0,0.454,0.82,0.856
0.0,0.622,0.0,0.628,0.0,0.452,0.818,0.854
0.0,0.61,0.0,0.62,0.0,0.448,0.816,0.852
0.0,0.606,0.0,0.614,0.0,0.44,0.81,0.848
0.0,0.598,0.0,0.612,0.0,0.438,0.808,0.844
0.0,0.596,0.0,0.606,0.0,0.438,0.806,0.838
0.0,0.588,0.0,0.602,0.0,0.434,0.8,0.838
0.0,0.584,0.0,0.594,0.0,0.43,0.796,0.836
0.0,0.58,0.0,0.594,0.0,0.43,0.792,0.836
0.0,0.574,0.0,0.584,0.0,0.426,0.78,0.832
0.0,0.57,0.0,0.576,0.0,0.422,0.772,0.83
0.0,0.566,0.0,0.57,0.0,0.416,0.766,0.826
0.0,0.558,0.0,0.562,0.0,0.416,0.762,0.822
0.0,0.55,0.0,0.558,0.0,0.408,0.762,0.818
0.0,0.55,0.0,0.552,0.0,0.398,0.76,0.816
0.0,0.546,0.0,0.548,0.0,0.394,0.758,0.816
0.0,0.54,0.0,0.542,0.0,0.392,0.756,0.808
0.0,0.534,0.0,0.536,0.0,0.386,0.754,0.808
0.0,0.532,0.0,0.536,0.0,0.384,0.748,0.804
0.0,0.526,0.0,0.534,0.0,0.38,0.738,0.802
0.0,0.522,0.0,0.528,0.0,0.378,0.736,0.8
0.0,0.518,0.0,0.522,0.0,0.376,0.73,0.8
0.0,0.512,0.0,0.52,0.0,0.37,0.726,0.8
0.0,0.5,0.0,0.518,0.0,0.364,0.718,0.798
0.0,0.494,0.0,0.514,0.0,0.356,0.714,0.788
0.0,0.486,0.0,0.506,0.0,0.354,0.706,0.78
0.0,0.484,0.0,0.498,0.0,0.35,0.706,0.776
0.0,0.48,0.0,0.496,0.0,0.346,0.702,0.77
0.0,0.474,0.0,0.494,0.0,0.344,0.698,0.768
0.0,0.468,0.0,0.492,0.0,0.336,0.694,0.762
0.0,0.468,0.0,0.49,0.0,0.336,0.694,0.762
0.0,0.46,0.0,0.49,0.0,0.332,0.69,0.76
0.0,0.45,0.0,0.484,0.0,0.33,0.68,0.756
0.0,0.444,0.0,0.482,0.0,0.324,0.678,0.754
0.0,0.434,0.0,0.48,0.0,0.318,0.678,0.746
0.0,0.43,0.0,0.474,0.0,0.318,0.674,0.744
0.0,0.426,0.0,0.466,0.0,0.318,0.67,0.738
0.0,0.424,0.0,0.458,0.0,0.314,0.668,0.738
0.0,0.416,0.0,0.452,0.0,0.308,0.662,0.734
0.0,0.412,0.0,0.446,0.0,0.304,0.658,0.732
0.0,0.404,0.0,0.436,0.0,0.296,0.652,0.732
0.0,0.398,0.0,0.434,0.0,0.292,0.65,0.726
0.0,0.396,0.0,0.428,0.0,0.282,0.646,0.724
0.0,0.386,0.0,0.428,0.0,0.276,0.644,0.718
0.0,0.38,0.0,0.428,0.0,0.274,0.642,0.708
0.0,0.378,0.0,0.426,0.0,0.266,0.636,0.704
0.0,0.372,0.0,0.422,0.0,0.266,0.632,0.696
0.0,0.368,0.0,0.42,0.0,0.264,0.63,0.692
0.0,0.364,0.0,0.414,0.0,0.262,0.626,0.684
0.0,0.362,0.0,0.404,0.0,0.258,0.62,0.678
0.0,0.358,0.0,0.4,0.0,0.258,0.618,0.672
0.0,0.356,0.0,0.398,0.0,0.258,0.608,0.668
0.0,0.352,0.0,0.396,0.0,0.258,0.604,0.666
0.0,0.344,0.0,0.392,0.0,0.254,0.598,0.66
0.0,0.338,0.0,0.388,0.0,0.254,0.592,0.658
0.0,0.332,0.0,0.386,0.0,0.254,0.584,0.656
